"symbol","total_prices","stock_from_date","stock_to_date","total_earnings","earnings_from_date","earnings_to_date"
"A","4916","1999-11-18","2019-06-05","41","2009-05-14","2019-05-14"
"AA","651","2016-11-01","2019-06-05","10","2017-01-24","2019-04-17"
"AAAP","574","2015-11-11","2018-07-18","0","NULL","NULL"
"AABA","5397","1998-01-02","2019-06-14","14","2014-01-28","2017-04-18"
"AAC","1176","2014-10-02","2019-06-05","21","2014-11-05","2019-04-16"
"AAL","3452","2005-09-27","2019-06-14","22","2014-01-28","2019-04-26"
"AAMC","1629","2012-12-13","2019-06-05","23","2013-05-09","2018-11-07"
"AAME","5397","1998-01-02","2019-06-14","39","2009-05-14","2018-11-13"
"AAN","5390","1998-01-02","2019-06-05","40","2009-08-05","2019-04-25"
"AAOI","1439","2013-09-26","2019-06-14","23","2013-11-07","2019-05-08"
"AAON","5397","1998-01-02","2019-06-14","41","2009-05-06","2019-05-02"
"AAP","4408","2001-11-29","2019-06-05","41","2009-05-20","2019-05-22"
"AAPL","5397","1998-01-02","2019-06-14","40","2009-07-21","2019-04-30"
"AAT","2111","2011-01-13","2019-06-05","33","2011-05-10","2019-04-30"
"AAU","3386","2005-12-20","2019-06-05","30","2011-08-11","2018-11-07"
"AAV","3601","2004-03-31","2018-07-19","0","NULL","NULL"
"AAWW","3421","2005-11-09","2019-06-14","41","2009-05-05","2019-05-01"
"AAXJ","2726","2008-08-15","2019-06-14","0","NULL","NULL"
"AAXN","4533","2001-06-07","2019-06-14","22","2014-02-26","2019-05-09"
"AB","5390","1998-01-02","2019-06-05","40","2009-07-30","2019-04-25"
"ABAC","2205","2010-07-20","2019-04-23","0","NULL","NULL"
"ABAX","5180","1998-01-02","2018-08-03","0","NULL","NULL"
"ABB","4568","2001-04-06","2019-06-05","34","2009-10-30","2019-04-17"
"ABBV","1617","2013-01-02","2019-06-05","25","2013-04-26","2019-04-25"
"ABC","5390","1998-01-02","2019-06-05","40","2009-07-30","2019-05-02"
"ABCB","5397","1998-01-02","2019-06-14","40","2009-07-21","2019-04-23"
"ABCD","2272","2009-12-09","2018-12-18","0","NULL","NULL"
"ABDC","1284","2014-05-09","2019-06-14","19","2014-11-10","2019-05-06"
"ABE","4358","2001-01-02","2018-06-06","0","NULL","NULL"
"ABEO","5397","1998-01-02","2019-06-14","18","2015-05-14","2019-05-10"
"ABEOW","857","2015-06-22","2019-06-11","0","NULL","NULL"
"ABEV","5390","1998-01-02","2019-06-05","22","2014-02-26","2019-05-07"
"ABG","4332","2002-03-21","2019-06-05","40","2009-07-30","2019-04-23"
"ABIL","873","2015-12-24","2019-06-14","10","2016-05-02","2018-12-26"
"ABIO","5397","1998-01-02","2019-06-14","31","2009-11-16","2019-05-08"
"ABLX","170","2017-10-20","2018-07-18","0","NULL","NULL"
"ABM","5390","1998-01-02","2019-06-05","41","2009-06-04","2019-06-05"
"ABMD","5397","1998-01-02","2019-06-14","41","2009-05-12","2019-05-02"
"ABR","3816","2004-04-07","2019-06-05","41","2009-05-08","2019-05-10"
"ABRN","995","2014-05-15","2018-04-26","0","NULL","NULL"
"ABT","5390","1998-01-02","2019-06-05","40","2009-07-15","2019-04-17"
"ABTX","927","2015-10-08","2019-06-14","15","2015-10-30","2019-04-26"
"ABUS","974","2015-08-03","2019-06-14","22","2014-03-06","2019-05-06"
"ABX","5372","1998-01-02","2019-05-09","0","NULL","NULL"
"AC","883","2015-12-01","2019-06-05","13","2015-12-15","2018-11-06"
"ACA","150","2018-10-30","2019-06-06","2","2019-02-27","2019-05-02"
"ACAD","3788","2004-05-27","2019-06-14","41","2009-05-11","2019-05-01"
"ACAMU","60","2019-02-22","2019-06-13","0","NULL","NULL"
"ACAMW","5","2019-04-15","2019-06-07","0","NULL","NULL"
"ACB","1235","2014-07-11","2019-06-06","1","2019-05-14","2019-05-14"
"ACBI","910","2015-11-02","2019-06-14","15","2015-11-13","2019-04-25"
"ACC","3729","2004-08-12","2019-06-05","40","2009-07-28","2019-04-22"
"ACCO","3473","2005-08-17","2019-06-05","29","2012-05-10","2019-05-02"
"ACER","434","2017-09-22","2019-06-14","20","2014-05-14","2019-05-14"
"ACERW","750","2015-04-14","2018-04-05","0","NULL","NULL"
"ACET","5397","1998-01-02","2019-06-14","39","2009-05-08","2018-11-08"
"ACFC","3440","2004-10-05","2018-11-14","0","NULL","NULL"
"ACGL","5397","1998-01-02","2019-06-14","40","2009-07-23","2019-04-30"
"ACGLO","461","2017-08-15","2019-06-14","0","NULL","NULL"
"ACGLP","685","2016-09-23","2019-06-14","0","NULL","NULL"
"ACH","4400","2001-12-11","2019-06-05","24","2009-08-25","2018-10-25"
"ACHC","5397","1998-01-02","2019-06-14","30","2012-03-07","2019-04-30"
"ACHN","3169","2006-11-09","2019-06-14","41","2009-05-15","2019-05-09"
"ACHV","5397","1998-01-02","2019-06-14","22","2014-03-11","2019-05-15"
"ACIA","777","2016-05-13","2019-06-14","12","2016-08-11","2019-05-02"
"ACIU","685","2016-09-23","2019-06-14","9","2017-05-11","2019-05-15"
"ACIW","5397","1998-01-02","2019-06-14","41","2009-05-06","2019-05-09"
"ACLS","4762","2000-07-11","2019-06-14","41","2009-05-11","2019-05-07"
"ACM","3039","2007-05-10","2019-06-05","41","2009-05-07","2019-05-08"
"ACMR","415","2011-11-18","2019-06-14","7","2017-12-07","2019-05-07"
"ACN","4497","2001-07-19","2019-06-05","40","2009-06-25","2019-03-28"
"ACNB","5397","1998-01-02","2019-06-14","30","2011-10-31","2019-01-30"
"ACOR","3358","2006-02-10","2019-06-14","41","2009-05-06","2019-05-02"
"ACP","2102","2011-01-27","2019-06-05","0","NULL","NULL"
"ACRE","1787","2012-04-27","2019-06-05","28","2012-08-14","2019-05-01"
"ACRS","928","2015-10-07","2019-06-14","15","2015-11-18","2019-05-08"
"ACRX","2098","2011-02-11","2019-06-14","32","2011-08-11","2019-05-08"
"ACSF","1181","2014-01-16","2019-05-20","0","NULL","NULL"
"ACST","2040","2011-05-06","2019-06-14","17","2014-05-21","2019-02-14"
"ACT","377","2017-12-13","2019-06-14","6","2014-02-20","2015-05-11"
"ACTA","4715","1999-08-05","2019-05-20","0","NULL","NULL"
"ACTG","4152","2002-12-16","2019-06-14","38","2009-07-23","2018-10-25"
"ACTTU","30","2019-04-26","2019-06-07","0","NULL","NULL"
"ACU","5390","1998-01-02","2019-06-05","40","2009-07-17","2019-04-18"
"ACV","1016","2015-05-22","2019-06-05","0","NULL","NULL"
"ACWI","2824","2008-03-28","2019-06-14","0","NULL","NULL"
"ACWX","2823","2008-03-31","2019-06-14","0","NULL","NULL"
"ACXM","5222","1998-01-02","2019-02-08","0","NULL","NULL"
"ACY","5377","1998-01-20","2019-06-05","41","2009-05-07","2019-05-15"
"ADAP","1035","2015-05-06","2019-06-14","16","2015-11-13","2019-05-06"
"ADBE","5397","1998-01-02","2019-06-14","40","2009-06-16","2019-03-14"
"ADC","5390","1998-01-02","2019-06-05","40","2009-07-30","2019-04-22"
"ADES","3875","2004-01-23","2019-06-14","32","2009-05-14","2019-05-06"
"ADI","5397","1998-01-02","2019-06-14","41","2009-05-19","2019-05-22"
"ADIL","216","2018-07-27","2019-06-06","3","2019-02-13","2019-05-13"
"ADILW","152","2018-07-27","2019-06-05","0","NULL","NULL"
"ADM","5390","1998-01-02","2019-06-05","41","2009-05-05","2019-04-26"
"ADMA","1424","2013-10-17","2019-06-14","21","2014-08-11","2019-05-08"
"ADMP","5397","1998-01-02","2019-06-14","23","2012-02-14","2019-05-09"
"ADMS","1304","2014-04-10","2019-06-14","21","2014-05-13","2019-05-09"
"ADNT","652","2016-10-31","2019-06-05","10","2017-02-03","2019-05-07"
"ADOM","503","2017-06-15","2019-06-14","5","2017-11-13","2019-02-13"
"ADP","5397","1998-01-02","2019-06-14","41","2009-05-05","2019-05-01"
"ADRA","4174","2002-11-13","2019-06-14","0","NULL","NULL"
"ADRD","4174","2002-11-13","2019-06-14","0","NULL","NULL"
"ADRE","4174","2002-11-13","2019-06-14","0","NULL","NULL"
"ADRO","1050","2015-04-15","2019-06-14","17","2015-05-28","2019-05-07"
"ADRU","4172","2002-11-13","2019-06-14","0","NULL","NULL"
"ADS","4520","2001-06-15","2019-06-05","40","2009-07-22","2019-04-25"
"ADSK","5397","1998-01-02","2019-06-14","41","2009-05-21","2019-05-23"
"ADSW","669","2016-10-06","2019-06-05","11","2016-11-02","2019-04-30"
"ADT","1680","2012-09-28","2019-06-05","15","2014-01-30","2019-05-07"
"ADTN","5397","1998-01-02","2019-06-14","41","2009-07-14","2019-04-18"
"ADUS","2423","2009-10-28","2019-06-14","39","2009-11-12","2019-05-06"
"ADVM","868","2016-01-04","2019-06-14","20","2014-09-11","2019-05-08"
"ADX","5390","1998-01-02","2019-06-05","0","NULL","NULL"
"ADXS","3494","2005-07-28","2019-06-14","26","2013-02-13","2019-06-10"
"ADXSW","1227","2013-10-17","2018-10-18","0","NULL","NULL"
"AE","5390","1998-01-02","2019-06-05","39","2009-05-13","2018-11-07"
"AEB","3404","2005-11-23","2019-06-05","0","NULL","NULL"
"AED","3402","2005-11-23","2019-06-03","0","NULL","NULL"
"AEE","5390","1998-01-02","2019-06-05","40","2009-08-06","2019-05-09"
"AEF","4628","2001-01-02","2019-06-06","0","NULL","NULL"
"AEG","5390","1998-01-02","2019-06-05","34","2009-05-14","2018-02-15"
"AEGN","5397","1998-01-02","2019-06-14","32","2011-10-25","2019-05-01"
"AEH","3517","2005-06-15","2019-06-05","0","NULL","NULL"
"AEHR","5397","1998-01-02","2019-06-14","40","2009-07-28","2019-04-04"
"AEIS","5397","1998-01-02","2019-06-14","40","2009-07-23","2019-05-06"
"AEK","1577","2012-02-07","2018-05-14","0","NULL","NULL"
"AEL","3901","2003-12-04","2019-06-05","41","2009-05-06","2019-05-01"
"AEM","5390","1998-01-02","2019-06-05","40","2009-07-29","2019-04-25"
"AEMD","4641","2001-01-02","2019-06-14","19","2014-02-11","2019-02-11"
"AEO","5390","1998-01-02","2019-06-05","41","2009-05-27","2019-06-05"
"AEP","5390","1998-01-02","2019-06-05","40","2009-07-31","2019-04-25"
"AER","3154","2006-11-21","2019-06-05","41","2009-05-07","2019-05-01"
"AERI","1418","2013-10-25","2019-06-14","23","2013-12-04","2019-05-07"
"AES","5390","1998-01-02","2019-06-05","41","2009-05-08","2019-05-07"
"AET","4712","2000-01-03","2018-09-24","0","NULL","NULL"
"AETI","3136","2006-12-28","2019-06-14","39","2009-05-01","2018-11-14"
"AEUA","754","2015-06-11","2018-06-07","0","NULL","NULL"
"AEY","5397","1998-01-02","2019-06-14","39","2009-05-12","2018-12-28"
"AEYE","1521","2013-04-26","2019-06-06","10","2015-07-17","2019-05-14"
"AEZS","4804","2000-05-10","2019-06-14","40","2009-05-06","2019-03-26"
"AFAM","4591","2000-01-03","2018-06-07","0","NULL","NULL"
"AFB","4368","2002-01-29","2019-06-05","0","NULL","NULL"
"AFC","3056","2007-04-17","2019-06-05","0","NULL","NULL"
"AFG","5390","1998-01-02","2019-06-05","41","2009-05-04","2019-05-01"
"AFGB","61","2019-03-19","2019-06-13","0","NULL","NULL"
"AFGE","1182","2014-09-24","2019-06-05","0","NULL","NULL"
"AFGH","891","2015-11-18","2019-06-05","0","NULL","NULL"
"AFH","1596","2013-02-12","2019-06-14","25","2013-03-18","2019-03-04"
"AFHBL","492","2017-05-16","2019-06-14","0","NULL","NULL"
"AFI","810","2016-03-17","2019-06-05","13","2016-08-12","2019-05-07"
"AFIN","222","2018-07-19","2019-06-06","0","NULL","NULL"
"AFINP","54","2019-03-22","2019-06-07","0","NULL","NULL"
"AFL","5390","1998-01-02","2019-06-05","40","2009-07-29","2019-04-25"
"AFMD","1197","2014-09-12","2019-06-14","19","2014-11-18","2019-05-22"
"AFSI","3036","2006-11-13","2019-05-20","0","NULL","NULL"
"AFSS","996","2015-06-22","2019-06-05","0","NULL","NULL"
"AFST","935","2015-09-17","2019-06-05","0","NULL","NULL"
"AFT","2082","2011-02-25","2019-06-05","0","NULL","NULL"
"AG","3150","2006-11-28","2019-06-05","34","2011-05-16","2019-05-09"
"AGC","2820","2007-05-25","2018-08-06","0","NULL","NULL"
"AGCO","5390","1998-01-02","2019-06-05","40","2009-07-28","2019-05-02"
"AGD","3236","2006-07-27","2019-06-05","0","NULL","NULL"
"AGE","129","2018-11-29","2019-06-06","0","NULL","NULL"
"AGEN","4868","2000-02-08","2019-06-14","41","2009-05-07","2019-05-09"
"AGFS","974","2015-08-03","2019-06-14","16","2015-08-14","2019-05-07"
"AGFSW","954","2015-08-03","2019-06-14","0","NULL","NULL"
"AGI","2594","2009-02-13","2019-06-05","25","2013-04-25","2019-05-01"
"AGII","5126","1998-01-02","2019-05-17","0","NULL","NULL"
"AGIIL","1420","2012-09-25","2019-05-20","0","NULL","NULL"
"AGIO","1484","2013-07-24","2019-06-14","23","2013-11-07","2019-05-02"
"AGLE","803","2016-04-07","2019-06-14","13","2016-05-19","2019-05-07"
"AGM","5390","1998-01-02","2019-06-05","41","2009-05-12","2019-05-02"
"AGMH","286","2018-04-18","2019-06-06","0","NULL","NULL"
"AGN","5390","1998-01-02","2019-06-05","40","2009-07-29","2019-05-07"
"AGNC","2790","2008-05-15","2019-06-14","40","2009-07-29","2019-04-24"
"AGNCB","1284","2014-05-09","2019-06-14","0","NULL","NULL"
"AGNCM","74","2019-02-28","2019-06-13","0","NULL","NULL"
"AGNCN","460","2017-08-16","2019-06-14","0","NULL","NULL"
"AGND","1381","2013-12-18","2019-06-14","0","NULL","NULL"
"AGO","3805","2004-04-23","2019-06-05","41","2009-05-07","2019-05-09"
"AGR","871","2015-12-17","2019-06-05","13","2016-04-25","2019-04-24"
"AGRO","2101","2011-01-28","2019-06-05","30","2011-08-16","2019-05-21"
"AGRX","1274","2014-05-23","2019-06-14","20","2014-08-14","2019-05-02"
"AGS","342","2018-01-26","2019-06-06","2","2019-03-05","2019-05-08"
"AGTC","1314","2014-03-27","2019-06-14","20","2014-09-26","2019-05-07"
"AGX","5390","1998-01-02","2019-06-05","41","2009-06-08","2019-06-10"
"AGYS","5397","1998-01-02","2019-06-14","41","2009-06-05","2019-05-16"
"AGZD","1381","2013-12-18","2019-06-14","0","NULL","NULL"
"AHC","2849","2008-02-11","2019-06-05","39","2009-05-04","2018-10-30"
"AHGP","3039","2006-05-10","2018-07-11","0","NULL","NULL"
"AHH","1530","2013-05-08","2019-06-05","24","2013-08-13","2019-05-02"
"AHL","3825","2003-12-05","2019-02-15","39","2009-07-29","2019-02-06"
"AHP","1122","2013-11-06","2018-04-23","0","NULL","NULL"
"AHPA","552","2017-01-05","2019-03-28","0","NULL","NULL"
"AHPAU","293","2016-10-11","2019-01-18","0","NULL","NULL"
"AHPAW","296","2017-01-05","2018-08-06","0","NULL","NULL"
"AHPI","5397","1998-01-02","2019-06-14","38","2009-05-12","2018-11-14"
"AHT","3971","2003-08-26","2019-06-05","41","2009-05-05","2019-05-02"
"AI","5390","1998-01-02","2019-06-05","39","2009-08-10","2019-05-01"
"AIA","2911","2007-11-20","2019-06-14","0","NULL","NULL"
"AIC","1059","2015-03-20","2019-06-05","0","NULL","NULL"
"AIF","1580","2013-02-26","2019-06-05","0","NULL","NULL"
"AIG","5390","1998-01-02","2019-06-05","41","2009-05-07","2019-05-06"
"AIHS","308","2018-03-16","2019-06-06","0","NULL","NULL"
"AIMC","3144","2006-12-15","2019-06-14","41","2009-05-04","2019-04-26"
"AIMT","971","2015-08-06","2019-06-14","16","2015-08-31","2019-05-08"
"AIN","5390","1998-01-02","2019-06-05","41","2009-05-04","2019-04-30"
"AINC","1146","2014-11-13","2019-06-05","18","2015-02-26","2019-05-02"
"AINV","3804","2004-05-05","2019-06-14","40","2009-06-01","2019-05-16"
"AIPT","341","2018-01-29","2019-06-06","11","2015-05-19","2017-11-14"
"AIQ","4316","2001-07-27","2019-06-06","15","2014-03-12","2017-08-03"
"AIR","5390","1998-01-02","2019-06-05","40","2009-07-14","2019-03-19"
"AIRG","714","2016-08-12","2019-06-14","12","2016-09-20","2019-05-09"
"AIRI","4694","2000-10-05","2019-06-05","21","2013-11-11","2019-05-10"
"AIRR","1326","2014-03-11","2019-06-14","0","NULL","NULL"
"AIRT","5397","1998-01-02","2019-06-14","36","2009-06-02","2018-11-13"
"AIT","5390","1998-01-02","2019-06-05","40","2009-08-07","2019-04-26"
"AIV","5390","1998-01-02","2019-06-05","40","2009-07-31","2019-05-02"
"AIW","1527","2013-05-06","2019-06-05","0","NULL","NULL"
"AIY","1496","2013-06-26","2019-06-05","0","NULL","NULL"
"AIZ","3859","2004-02-05","2019-06-05","40","2009-07-29","2019-05-06"
"AIZP","314","2018-03-08","2019-06-06","0","NULL","NULL"
"AJG","5390","1998-01-02","2019-06-05","40","2009-07-28","2019-04-25"
"AJRD","5390","1998-01-02","2019-06-05","15","2015-07-10","2019-04-30"
"AJX","1084","2015-02-13","2019-06-05","18","2015-03-17","2019-05-07"
"AJXA","529","2017-04-28","2019-06-05","0","NULL","NULL"
"AKAM","4937","1999-10-29","2019-06-14","40","2009-07-29","2019-04-30"
"AKAO","1298","2014-03-12","2019-05-07","21","2014-05-12","2019-03-28"
"AKBA","1319","2014-03-20","2019-06-14","21","2014-05-12","2019-05-09"
"AKCA","483","2017-07-14","2019-06-14","8","2017-08-08","2019-05-08"
"AKER","1358","2014-01-23","2019-06-14","19","2014-05-14","2018-11-15"
"AKG","2876","2008-01-02","2019-06-05","25","2013-04-01","2019-02-14"
"AKP","4345","2002-01-29","2019-05-02","0","NULL","NULL"
"AKR","5390","1998-01-02","2019-06-05","40","2009-07-29","2019-04-24"
"AKRX","4246","2002-08-02","2019-06-14","30","2009-05-12","2019-05-07"
"AKS","5390","1998-01-02","2019-06-05","40","2009-07-21","2019-04-29"
"AKTS","896","2015-11-20","2019-06-14","8","2016-02-16","2019-05-10"
"AKTX","940","2015-09-21","2019-06-14","11","2015-11-23","2019-04-23"
"AL","2045","2011-04-19","2019-06-05","33","2011-05-16","2019-05-09"
"ALAC","126","2018-11-21","2019-06-06","0","NULL","NULL"
"ALACR","65","2018-11-21","2019-06-06","0","NULL","NULL"
"ALACU","143","2018-10-24","2019-06-06","0","NULL","NULL"
"ALACW","99","2018-11-21","2019-06-06","0","NULL","NULL"
"ALB","5390","1998-01-02","2019-06-05","40","2009-07-22","2019-05-08"
"ALBO","3045","2007-05-11","2019-06-14","20","2014-02-06","2019-05-09"
"ALC","42","2019-04-09","2019-06-07","0","NULL","NULL"
"ALCO","5397","1998-01-02","2019-06-14","39","2009-05-11","2018-12-06"
"ALDR","1285","2014-05-08","2019-06-14","20","2014-08-05","2019-05-02"
"ALDW","1315","2012-11-20","2018-02-12","0","NULL","NULL"
"ALDX","1289","2014-05-02","2019-06-14","20","2014-08-04","2019-05-09"
"ALE","5390","1998-01-02","2019-06-05","40","2009-08-05","2019-05-02"
"ALEC","83","2019-02-07","2019-06-06","1","2019-05-13","2019-05-13"
"ALEX","1754","2012-06-14","2019-06-05","28","2012-08-01","2019-05-02"
"ALG","5390","1998-01-02","2019-06-05","39","2009-11-04","2019-05-01"
"ALGN","4622","2001-01-30","2019-06-14","40","2009-07-23","2019-04-24"
"ALGR","200","2018-08-13","2019-06-05","0","NULL","NULL"
"ALGRR","100","2018-08-13","2019-06-04","0","NULL","NULL"
"ALGRU","223","2018-07-03","2019-06-05","0","NULL","NULL"
"ALGRW","147","2018-08-13","2019-06-06","0","NULL","NULL"
"ALGT","3140","2006-12-08","2019-06-03","40","2009-07-21","2019-04-24"
"ALIM","2303","2010-04-22","2019-06-14","37","2010-06-03","2019-04-29"
"ALJJ","5397","1998-01-02","2019-06-14","35","2009-05-15","2018-12-17"
"ALK","4628","2001-01-02","2019-06-05","40","2009-07-23","2019-04-25"
"ALKS","5397","1998-01-02","2019-06-14","41","2009-05-21","2019-04-25"
"ALL","5390","1998-01-02","2019-06-05","41","2009-05-07","2019-05-01"
"ALLE","1395","2013-11-18","2019-06-05","22","2014-02-19","2019-04-25"
"ALLK","222","2018-07-19","2019-06-06","3","2019-02-14","2019-05-08"
"ALLO","163","2018-10-11","2019-06-06","2","2019-03-08","2019-05-07"
"ALLT","3164","2006-11-16","2019-06-14","41","2009-05-12","2019-05-14"
"ALLY","1348","2014-01-28","2019-06-05","21","2014-05-01","2019-04-18"
"ALN","2228","2009-09-14","2018-07-19","0","NULL","NULL"
"ALNA","405","2017-11-02","2019-06-14","7","2017-12-14","2019-05-08"
"ALNY","3786","2004-06-01","2019-06-14","41","2009-05-07","2019-05-01"
"ALO","3152","2006-11-24","2019-06-05","8","2017-08-10","2019-05-08"
"ALOG","4650","2000-01-03","2018-08-01","0","NULL","NULL"
"ALOT","5397","1998-01-02","2019-06-14","41","2009-05-19","2019-06-05"
"ALPN","1006","2015-06-17","2019-06-14","16","2015-08-03","2019-05-09"
"ALQA","5054","1999-05-14","2019-06-14","19","2014-03-24","2018-10-26"
"ALRM","999","2015-06-26","2019-06-14","16","2015-08-06","2019-05-09"
"ALRN","5397","1998-01-02","2019-06-14","8","2017-08-10","2019-05-08"
"ALSK","4923","1999-11-18","2019-06-14","40","2009-07-30","2019-05-06"
"ALSN","1817","2012-03-15","2019-06-05","30","2012-04-23","2019-04-23"
"ALT","3445","2005-10-06","2019-06-14","21","2014-03-11","2019-04-02"
"ALTM","527","2017-05-02","2019-06-06","2","2019-02-27","2019-05-01"
"ALTR","5397","1998-01-02","2019-06-14","15","2014-01-23","2019-05-09"
"ALTY","988","2015-07-14","2019-06-14","0","NULL","NULL"
"ALV","5390","1998-01-02","2019-06-05","39","2009-07-21","2019-04-26"
"ALX","5390","1998-01-02","2019-06-05","39","2009-05-04","2018-10-29"
"ALXN","5397","1998-01-02","2019-06-14","40","2009-07-23","2019-04-25"
"ALYA","147","2018-11-02","2019-06-06","0","NULL","NULL"
"AM","1151","2014-11-05","2019-06-05","17","2015-04-29","2019-05-01"
"AMAG","5397","1998-01-02","2019-06-14","40","2009-07-29","2019-05-07"
"AMAL","209","2018-08-07","2019-06-06","2","2019-01-29","2019-04-30"
"AMAT","5397","1998-01-02","2019-06-14","41","2009-05-12","2019-05-16"
"AMBA","1679","2012-10-10","2019-06-14","27","2012-12-05","2019-06-04"
"AMBC","1542","2013-05-01","2019-06-14","24","2013-08-14","2019-05-09"
"AMBCW","1446","2013-08-22","2019-06-14","0","NULL","NULL"
"AMBO","255","2018-06-01","2019-06-06","0","NULL","NULL"
"AMBR","1311","2014-03-21","2019-06-05","21","2014-05-13","2019-05-09"
"AMC","1374","2013-12-18","2019-06-05","22","2014-02-25","2019-05-09"
"AMCA","460","2017-08-11","2019-06-14","0","NULL","NULL"
"AMCI","89","2019-01-23","2019-06-05","0","NULL","NULL"
"AMCIU","132","2018-11-16","2019-06-05","0","NULL","NULL"
"AMCIW","36","2019-01-24","2019-06-03","0","NULL","NULL"
"AMCN","2920","2007-11-07","2019-06-14","27","2009-05-18","2015-11-17"
"AMCX","2012","2011-06-16","2019-06-14","32","2011-08-11","2019-05-01"
"AMD","5397","1998-01-02","2019-06-14","40","2009-07-21","2019-04-30"
"AMDA","4338","2002-01-02","2019-03-28","0","NULL","NULL"
"AME","5390","1998-01-02","2019-06-05","40","2009-07-28","2019-05-01"
"AMED","5397","1998-01-02","2019-06-14","40","2009-07-28","2019-04-30"
"AMEH","2885","2000-01-13","2019-06-14","3","2018-08-14","2019-05-13"
"AMG","5390","1998-01-02","2019-06-05","40","2009-07-29","2019-05-06"
"AMGN","5397","1998-01-02","2019-06-14","40","2009-07-27","2019-04-30"
"AMGP","466","2017-05-04","2019-03-12","7","2017-08-02","2019-02-13"
"AMH","1471","2013-08-01","2019-06-05","24","2013-08-20","2019-05-02"
"AMID","1977","2011-07-27","2019-06-05","29","2011-11-14","2018-11-08"
"AMKR","5315","1998-05-01","2019-06-14","40","2009-07-29","2019-05-02"
"AMMA","622","2016-10-06","2019-03-28","0","NULL","NULL"
"AMN","4419","2001-11-13","2019-06-05","22","2014-02-20","2019-05-02"
"AMNB","5077","1999-04-13","2019-06-14","40","2009-07-22","2019-04-18"
"AMOT","5397","1998-01-02","2019-06-14","41","2009-05-13","2019-05-01"
"AMOV","4616","2001-02-07","2019-06-14","0","NULL","NULL"
"AMP","3453","2005-09-15","2019-06-05","40","2009-07-23","2019-04-24"
"AMPE","2311","2010-03-31","2019-06-05","26","2012-05-04","2018-08-14"
"AMPH","1252","2014-06-25","2019-06-14","20","2014-08-12","2019-05-09"
"AMR","331","2018-02-12","2019-06-06","2","2017-11-13","2019-02-26"
"AMRB","5145","1999-01-04","2019-06-14","40","2009-07-27","2019-04-18"
"AMRC","2233","2010-07-22","2019-06-05","36","2010-08-12","2019-04-30"
"AMRH","2081","2011-02-22","2019-06-14","13","2015-08-14","2018-11-14"
"AMRHW","240","2017-11-17","2019-06-14","0","NULL","NULL"
"AMRK","1322","2014-03-17","2019-06-14","22","2014-03-27","2019-05-09"
"AMRN","5397","1998-01-02","2019-06-14","33","2011-05-10","2019-05-01"
"AMRS","2193","2010-09-28","2019-06-14","34","2010-11-04","2019-03-18"
"AMRWW","528","2017-04-28","2019-06-06","0","NULL","NULL"
"AMRX","2614","2009-01-15","2019-06-06","2","2019-02-28","2019-05-09"
"AMS","5390","1998-01-02","2019-06-05","39","2009-05-13","2018-11-08"
"AMSC","5397","1998-01-02","2019-06-14","39","2009-05-14","2019-06-05"
"AMSF","3414","2005-11-18","2019-06-14","40","2009-08-05","2019-05-01"
"AMSWA","5397","1998-01-02","2019-06-14","41","2009-06-25","2019-06-19"
"AMT","5352","1998-02-27","2019-06-05","39","2009-07-29","2019-05-03"
"AMTB","193","2018-08-29","2019-06-06","2","2019-01-29","2019-04-26"
"AMTBB","192","2018-08-29","2019-06-06","0","NULL","NULL"
"AMTD","5397","1998-01-02","2019-06-14","40","2009-07-21","2019-04-23"
"AMTX","3258","2006-06-27","2019-06-14","19","2014-03-18","2019-05-09"
"AMWD","5397","1998-01-02","2019-06-14","41","2009-06-05","2019-05-28"
"AMX","4609","2001-02-08","2019-06-06","37","2009-04-28","2019-04-29"
"AMZN","5397","1998-01-02","2019-06-14","40","2009-07-23","2019-04-25"
"AN","5391","1998-01-02","2019-06-06","40","2009-07-31","2019-04-26"
"ANAB","600","2017-01-26","2019-06-14","9","2017-05-11","2019-05-07"
"ANAT","5397","1998-01-02","2019-06-14","38","2009-07-28","2018-10-24"
"ANCB","1895","2011-01-26","2018-08-06","0","NULL","NULL"
"ANCN","85","2019-02-12","2019-06-13","1","2019-05-22","2019-05-22"
"ANCX","3664","2004-07-19","2019-05-07","16","2014-01-21","2017-10-25"
"ANDA","566","2015-12-08","2018-05-31","0","NULL","NULL"
"ANDAR","544","2015-12-07","2018-05-31","0","NULL","NULL"
"ANDAU","453","2015-11-25","2018-05-31","0","NULL","NULL"
"ANDAW","533","2015-12-07","2018-05-31","0","NULL","NULL"
"ANDE","5397","1998-01-02","2019-06-14","40","2009-05-06","2019-05-06"
"ANDV","4666","2000-01-03","2018-07-19","0","NULL","NULL"
"ANDX","2045","2011-04-20","2019-06-06","22","2014-02-05","2019-05-08"
"ANET","1259","2014-06-06","2019-06-06","20","2014-08-07","2019-05-02"
"ANF","5391","1998-01-02","2019-06-06","41","2009-05-15","2019-05-29"
"ANFI","1672","2012-10-11","2019-06-06","11","2012-11-20","2015-07-16"
"ANGI","1904","2011-11-17","2019-06-14","29","2012-04-26","2019-05-08"
"ANGO","3786","2004-06-01","2019-06-14","40","2009-07-16","2019-04-02"
"ANH","5344","1998-03-12","2019-06-06","39","2009-07-29","2019-05-03"
"ANIK","5397","1998-01-02","2019-06-14","40","2009-07-22","2019-05-02"
